I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-53.68,-112.24,-58.56,82.96,0.0,-87.84,-9.76,-102.48,-200.08,-224.48,-141.52,-102.48
9.99,-33.93,24.63,151.51,58.79,-4.65,63.67,-38.81,-141.29,-165.69,-82.73,-48.57
41.44,-2.48,56.08,182.96,90.24,26.8,90.24,-17.12,-119.6,-148.88,-51.28,-26.88
13.91,-25.13,38.31,160.31,62.71,4.15,67.59,-44.65,-147.13,-166.65,-83.69,-49.53
-50.51,-74.91,-11.47,91.01,-6.59,-45.63,3.17,-109.07,-206.67,-231.07,-138.35,-104.19
-116.84,-165.64,-107.08,24.68,-63.16,-136.36,-68.04,-170.52,-273.0,-297.4,-209.56,-165.64
-151.31,-195.23,-141.55,-19.55,-102.51,-170.83,-117.15,-214.75,-317.23,-336.75,-248.91,-204.99
-142.29,-181.33,-122.77,-5.65,-93.49,-152.05,-108.13,-205.73,-303.33,-327.73,-235.01,-195.97
-77.75,-116.79,-63.11,49.13,-33.83,-92.39,-48.47,-150.95,-243.67,-268.07,-170.47,-131.43
0.28,-43.64,5.16,122.28,44.2,-19.24,24.68,-77.8,-165.64,-194.92,-87.56,-68.04
42.43,-6.37,47.31,174.19,91.23,18.03,71.71,-30.77,-128.37,-143.01,-64.93,-25.89
28.14,-10.9,52.54,174.54,76.94,18.38,81.82,-20.66,-123.14,-137.78,-54.82,-20.66
-30.31,-69.35,-1.03,125.85,23.37,-35.19,28.25,-79.11,-166.95,-186.47,-103.51,-64.47
-94.07,-152.63,-94.07,52.33,-35.51,-123.35,-55.03,-152.63,-250.23,-274.63,-167.27,-142.87
-147.64,-186.68,-128.12,-11.0,-98.84,-157.4,-113.48,-215.96,-313.56,-328.2,-235.48,-206.2
-147.29,-196.09,-142.41,-15.53,-98.49,-171.69,-118.01,-210.73,-318.09,-337.61,-244.89,-210.73
-105.14,-134.42,-75.86,26.62,-61.22,-105.14,-70.98,-163.7,-271.06,-290.58,-207.62,-168.58
-27.11,-61.27,-7.59,99.77,16.81,-36.87,-2.71,-95.43,-202.79,-217.43,-134.47,-95.43
22.79,-16.25,47.19,169.19,71.59,13.03,61.83,-35.77,-143.13,-157.77,-74.81,-35.77
41.57,-7.23,51.33,183.09,95.25,22.05,75.73,-12.11,-119.47,-143.87,-46.27,-21.87
7.1,-41.7,11.98,138.86,55.9,-17.3,46.14,-51.46,-158.82,-178.34,-100.26,-61.22
-73.87,-127.55,-64.11,82.29,-15.31,-98.27,-15.31,-117.79,-225.15,-244.67,-166.59,-127.55
-138.29,-177.33,-113.89,8.11,-89.49,-148.05,-74.85,-177.33,-284.69,-304.21,-240.77,-201.73
-175.58,-190.22,-112.14,-9.66,-131.66,-151.18,-77.98,-165.82,-282.94,-326.86,-273.18,-239.02
-144.13,-144.13,-66.05,12.03,-105.09,-105.09,-7.49,-75.81,-217.33,-280.77,-256.37,-227.09
-75.58,-56.06,22.02,70.82,-46.3,-17.02,104.98,70.82,-85.34,-182.94,-207.34,-178.06
-11.91,56.41,139.37,119.85,-7.03,95.45,222.33,232.09,75.93,-46.07,-119.27,-109.51
34.18,122.02,190.34,126.9,24.42,156.18,283.06,341.62,190.34,63.46,-68.3,-68.3
31.05,143.29,192.09,74.97,-3.11,167.69,265.29,367.77,226.25,94.49,-51.91,-71.43
-8.97,117.91,142.31,-23.61,-62.65,127.67,220.39,381.43,254.55,108.15,-82.17,-106.57
-41.14,56.46,41.82,-119.22,-99.7,46.7,183.34,412.7,300.46,149.18,-119.22,-148.5
-60.97,-7.29,-41.45,-153.69,-104.89,-26.81,192.79,451.43,387.99,241.59,-60.97,-139.05
-22.67,40.77,-17.79,-169.07,-86.11,11.49,245.73,504.37,514.13,397.01,16.37,-76.35
61.39,154.11,71.15,-148.45,-26.45,110.19,290.75,529.87,646.99,588.43,139.47,46.75
158.94,290.7,183.34,-119.22,36.94,237.02,280.94,446.86,739.66,793.34,359.02,232.14
249.89,425.57,274.29,-140.51,83.97,347.49,210.85,259.65,752.53,962.37,557.33,410.93
269.76,547.92,372.24,-218.24,40.4,460.08,20.88,-62.08,645.52,1045.68,704.08,552.8
216.19,650.51,474.83,-349.89,-91.25,562.67,-227.89,-462.13,445.55,1050.67,831.07,645.63
128.03,742.91,581.87,-501.49,-262.37,659.95,-457.57,-916.29,88.99,913.71,913.71,703.87
40.3,703.98,577.1,-545.3,-354.98,640.54,-564.82,-1213.86,-218.34,762.54,933.34,752.78
21.13,621.37,509.13,-501.03,-335.11,562.81,-579.11,-1359.91,-427.83,631.13,967.85,787.29
48.64,526.88,434.16,-375.92,-239.28,478.08,-512.56,-1342.16,-488.16,570.8,995.36,819.68
68.11,331.63,292.59,-141.73,-83.17,312.11,-332.05,-1244.61,-478.45,502.43,956.27,814.75
54.57,127.77,161.93,88.73,35.05,142.41,-130.87,-1141.03,-560.31,283.93,820.73,713.37
-14.49,0.15,117.27,214.87,34.31,58.71,-4.73,-1088.09,-726.97,-63.29,575.99,527.19
-117.28,-117.28,63.28,243.84,-29.44,-29.44,34.0,-1059.12,-912.72,-454.0,238.96,282.88
-242.17,-198.25,35.99,206.79,-149.45,-81.13,-42.09,-1115.69,-1140.09,-896.09,-81.13,35.99
-355.39,-321.23,-38.19,196.05,-233.39,-179.71,-130.91,-1175.23,-1385.07,-1321.63,-360.27,-184.59
-397.56,-456.12,-153.56,236.84,-217.0,-304.84,-168.2,-1183.24,-1573.64,-1637.08,-563.48,-319.48
-346.59,-512.51,-229.47,302.45,-122.11,-370.99,-180.67,-1088.35,-1493.39,-1561.71,-571.07,-346.59
-268.28,-497.64,-224.36,395.4,-19.4,-361.0,-102.36,-912.44,-1288.2,-1346.76,-522.04,-326.84
-199.73,-419.33,-146.05,459.07,44.27,-282.69,-9.41,-741.41,-1092.77,-1146.45,-468.13,-302.21
-173.16,-378.12,-99.96,485.64,65.96,-241.48,-26.76,-670.92,-968.6,-1012.52,-407.4,-261.0
-166.53,-381.25,-132.37,438.59,62.83,-259.25,-127.49,-654.53,-918.05,-932.69,-395.89,-259.25
-187.03,-406.63,-201.67,335.13,22.81,-304.15,-245.59,-626.23,-865.35,-879.99,-416.39,-294.39
-228.96,-433.92,-258.24,224.88,-38.64,-346.08,-331.44,-604.72,-834.08,-858.48,-458.32,-355.84
-243.91,-463.51,-312.23,170.89,-58.47,-390.31,-370.79,-561.11,-775.83,-809.99,-453.75,-375.67
-210.49,-449.61,-317.85,175.03,-25.05,-386.17,-317.85,-478.89,-669.21,-713.13,-391.05,-327.61
-141.07,-365.55,-243.55,215.17,29.73,-306.99,-209.39,-370.43,-526.59,-585.15,-316.75,-263.07
-48.4,-263.12,-160.64,263.92,107.76,-214.32,-72.8,-233.84,-380.24,-433.92,-224.08,-170.4
18.15,-186.81,-103.85,286.55,159.67,-147.77,3.51,-123.37,-255.13,-313.69,-152.65,-103.85
42.9,-162.06,-108.38,252.74,169.78,-137.66,42.9,-64.46,-181.58,-245.02,-123.02,-79.1
8.85,-186.35,-152.19,174.77,121.09,-171.71,43.01,-49.71,-181.47,-240.03,-127.79,-113.15
-64.67,-250.11,-215.95,96.37,42.69,-235.47,-10.99,-89.07,-211.07,-269.63,-181.79,-167.15
-108.48,-250.0,-225.6,13.52,-25.52,-240.24,-69.44,-132.88,-230.48,-279.28,-215.84,-191.44
-108.13,-195.97,-176.45,-25.17,-54.45,-186.21,-88.61,-127.65,-210.61,-259.41,-205.73,-186.21
-70.86,-129.42,-100.14,16.98,-26.94,-114.78,-36.7,-61.1,-139.18,-192.86,-144.06,-139.18
7.17,-46.51,-22.11,85.25,46.21,-36.75,46.21,21.81,-46.51,-105.07,-66.03,-61.15
61.95,13.15,42.43,144.91,100.99,27.79,120.51,96.11,37.55,-35.65,-21.01,-11.25
75.85,31.93,61.21,158.81,110.01,46.57,139.29,114.89,61.21,-11.99,-11.99,-2.23
36.5,2.34,31.62,114.58,65.78,16.98,114.58,90.18,41.38,-31.82,-26.94,-41.58
-39.59,-68.87,-34.71,43.37,-10.31,-54.23,48.25,18.97,-24.95,-98.15,-103.03,-112.79
-104.01,-147.93,-113.77,-11.29,-64.97,-133.29,-16.17,-35.69,-84.49,-143.05,-167.45,-162.57
-121.78,-170.58,-141.3,-38.82,-82.74,-155.94,-33.94,-53.46,-102.26,-151.06,-175.46,-175.46
-90.33,-129.37,-100.09,-12.25,-56.17,-114.73,-7.37,-26.89,-80.57,-114.73,-144.01,-144.01
-7.14,-41.3,-26.66,41.66,17.26,-36.42,61.18,46.54,-12.02,-51.06,-75.46,-70.58
61.41,27.25,41.89,110.21,85.81,32.13,134.61,129.73,61.41,22.37,7.73,-2.03
92.86,53.82,68.46,141.66,117.26,58.7,170.94,166.06,102.62,53.82,24.54,29.42
70.21,21.41,36.05,123.89,99.49,26.29,153.17,148.29,94.61,45.81,1.89,6.77
0.91,-52.77,-33.25,69.23,35.07,-43.01,83.87,83.87,44.83,-8.85,-62.53,-57.65
-70.3,-99.58,-80.06,-16.62,-45.9,-89.82,12.66,17.54,-21.5,-70.3,-123.98,-133.74
-109.65,-129.17,-109.65,-60.85,-90.13,-119.41,-36.45,-31.57,-65.73,-104.77,-168.21,-173.09
-95.75,-110.39,-90.87,-46.95,-81.11,-100.63,-22.55,-17.67,-51.83,-85.99,-149.43,-154.31
-26.33,-45.85,-36.09,2.95,-11.69,-40.97,41.99,46.87,7.83,-26.33,-80.01,-94.65
